geoid_o,geoid_d,lng_o,lat_o,lng_d,lat_d,date_range,visitor_flows,pop_flows,policy
51,2,-78.66634949,37.5108731,-151.2505488,63.78846948,03/02/20 - 03/08/20,201,3156,0
51,4,-78.66634949,37.5108731,-111.6644603,34.29309519,03/02/20 - 03/08/20,2573,40410,0
51,5,-78.66634949,37.5108731,-92.43923686,34.89977242,03/02/20 - 03/08/20,782,12281,0
51,6,-78.66634949,37.5108731,-119.6638459,37.21530826,03/02/20 - 03/08/20,9803,153961,0
51,8,-78.66634949,37.5108731,-105.5478211,38.9985316,03/02/20 - 03/08/20,4061,63780,0
51,9,-78.66634949,37.5108731,-72.73825768,41.57516415,03/02/20 - 03/08/20,1508,23683,0
51,10,-78.66634949,37.5108731,-75.45249263,38.99497529,03/02/20 - 03/08/20,2742,43064,0
51,11,-78.66634949,37.5108731,-77.0162909,38.90477389,03/02/20 - 03/08/20,56417,886059,0
51,12,-78.66634949,37.5108731,-82.46641839,28.47705841,03/02/20 - 03/08/20,36797,577916,0
51,13,-78.66634949,37.5108731,-83.42714021,32.63861711,03/02/20 - 03/08/20,11633,182702,0
51,15,-78.66634949,37.5108731,-158.1099738,20.9951112,03/02/20 - 03/08/20,1621,25458,0
51,16,-78.66634949,37.5108731,-114.659414,44.38905509,03/02/20 - 03/08/20,196,3078,0
51,17,-78.66634949,37.5108731,-89.14863899,40.12420083,03/02/20 - 03/08/20,4058,63733,0
51,18,-78.66634949,37.5108731,-86.28183839,39.91986962,03/02/20 - 03/08/20,1809,28411,0
51,19,-78.66634949,37.5108731,-93.50009012,42.07464833,03/02/20 - 03/08/20,460,7224,0
51,20,-78.66634949,37.5108731,-98.3801554,38.48472707,03/02/20 - 03/08/20,488,7664,0
51,21,-78.66634949,37.5108731,-85.29055223,37.52661417,03/02/20 - 03/08/20,4040,63450,0
51,22,-78.66634949,37.5108731,-91.81423318,30.9090729,03/02/20 - 03/08/20,2929,46001,0
51,23,-78.66634949,37.5108731,-69.20275986,45.27432853,03/02/20 - 03/08/20,281,4413,0
51,24,-78.66634949,37.5108731,-76.68717734,38.94649396,03/02/20 - 03/08/20,52747,828419,0
51,25,-78.66634949,37.5108731,-71.50397204,42.16009327,03/02/20 - 03/08/20,3095,48608,0
51,26,-78.66634949,37.5108731,-85.73095291,44.8747736,03/02/20 - 03/08/20,1600,25128,0
51,27,-78.66634949,37.5108731,-94.1983056,46.34911038,03/02/20 - 03/08/20,883,13867,0
51,28,-78.66634949,37.5108731,-89.65335941,32.71289227,03/02/20 - 03/08/20,910,14292,0
51,29,-78.66634949,37.5108731,-92.4774252,38.36763044,03/02/20 - 03/08/20,1561,24516,0
51,30,-78.66634949,37.5108731,-109.645207,47.03342111,03/02/20 - 03/08/20,284,4460,0
51,31,-78.66634949,37.5108731,-99.81085586,41.52715113,03/02/20 - 03/08/20,263,4130,0
51,32,-78.66634949,37.5108731,-116.6552487,39.35618587,03/02/20 - 03/08/20,4178,65617,0
51,33,-78.66634949,37.5108731,-71.57124317,43.68023706,03/02/20 - 03/08/20,345,5418,0
51,34,-78.66634949,37.5108731,-74.65561231,40.11017985,03/02/20 - 03/08/20,6356,99824,0
51,35,-78.66634949,37.5108731,-106.1084439,34.42130099,03/02/20 - 03/08/20,613,9627,0
51,36,-78.66634949,37.5108731,-75.59654322,42.92123355,03/02/20 - 03/08/20,11958,187806,0
51,37,-78.66634949,37.5108731,-79.13090892,35.52603039,03/02/20 - 03/08/20,51306,805788,0
